KANT	ZGDE	GEBAEUDE_ID	HHNR	PERSON_ID	GEMT	ALTJ	GORTAUS	AGDE	AWBUS	XH	YH
9	3	7677	2884808	56	968	59	699	-1	1873	706826.4565647845	249304.20842635608
17	5	8428	2335464	57	734	45	426	1372	5701	692217.4782633993	207065.36160114766
19	2	9273	5107600	58	817	96	626	4104	4759	654330.7926332502	251780.72285392034
20	4	1258	6533375	59	10	17	658	4146	3026	647470.6503701671	246880.48650096086
11	8	6075	3199191	60	505	85	421	1701	2527	682571.7995335364	212897.17491675416
8	6	9925	4491866	61	12	2	129	213	3962	699703.3169558154	253832.79137586788
12	7	5209	8761008	62	74	12	868	29	6467	699256.2589765651	259728.16477303204
15	4	980	5638303	63	777	69	839	159	5513	688917.8999400585	238550.25285231753
6	3	5627	8344657	64	837	33	381	4616	5536	700260.1108067314	280035.2201136539
11	0	1213	9548945	65	426	70	362	-1	5292	667285.8723746631	256036.8950872561
17	9	5126	4526477	66	894	13	165	261	1219	682408.1760332709	238844.6131495806
21	9	8936	1130005	67	298	2	248	159	4111	698536.4790904653	236903.3909753083
16	2	1233	6223066	68	752	99	509	4003	3785	644105.7139533779	241875.48114073047
24	9	3305	2080559	69	659	94	736	115	8879	705253.4902133456	232852.89471995513
16	4	7810	4423371	70	835	98	737	1510	5230	674392.7156581872	204734.62712139744
5	8	7592	797445	71	648	97	113	3402	8871	731131.9270778333	253330.76292108366
19	6	3009	1089558	72	268	44	481	261	5806	694253.528172958	257098.87256510823
21	3	780	2334938	73	996	52	120	197	6358	705802.2748318014	255294.20703806967
23	9	3203	8889358	74	157	79	147	261	2197	707015.812999193	234827.6239489358
17	7	8474	1412371	75	144	5	205	1060	2006	663995.7740485225	211963.7590325292
21	5	1039	868393	76	352	99	630	261	6066	694232.2544893695	246339.52456174835
24	3	5274	8857012	77	632	38	621	230	1269	691079.9228776684	247004.03309719433
16	3	6076	3525498	78	175	32	345	4166	2719	646000.8102296036	249404.2562473799
9	8	1137	8609635	79	173	74	457	4571	6015	709157.2514035191	269224.23611468164
4	3	5136	4213687	80	885	44	560	3377	2473	723734.6245440894	241699.52610963528
19	0	5591	8964067	81	419	8	597	3443	8481	736004.5295144956	252643.93165829705
16	8	3617	9744564	82	677	2	356	1342	4398	693557.2009219399	218210.491442136
22	0	2641	9171609	83	132	32	880	-1	3511	707790.1886806156	267132.40489014157
5	7	2118	8344292	84	865	31	627	-1	7512	731136.791119673	252290.46634337734
3	8	855	3790729	85	570	80	281	66	9054	684174.9178493343	260699.53388428534
11	8	9686	809694	86	228	88	131	-1	2166	679391.0106275869	235355.71041833318
17	7	2607	9589337	87	416	12	839	83	2578	675590.6853084759	254510.01284183047
22	1	7975	6558165	88	688	1	938	-1	2947	690106.5170808089	233794.88551876278
25	7	2175	1252684	89	328	8	224	261	6959	666731.9150480967	257417.14813429752
15	4	4863	6808989	90	127	26	568	199	5660	691269.5404826496	255111.3179537011
6	1	525	6896967	91	869	69	386	261	6531	694445.4373292945	263203.78717253404
3	6	7542	1684396	92	173	73	402	4566	5453	707033.8643780354	269158.08506921784
17	3	3697	867151	93	714	47	860	1024	2873	663062.523076371	215237.06549776645
22	2	5873	9922325	94	259	9	327	4010	9379	645228.0147624766	244393.74747822675
14	7	9729	8495495	95	288	8	596	1054	7454	669607.7172805837	212402.0596746144
0	7	5543	4051214	96	460	67	350	-1	411	674195.5434175846	252652.55230685874
18	1	9475	6753717	97	179	94	538	4545	7247	698107.1545414478	283150.7142352593
16	8	7151	1140459	98	651	52	494	115	4624	703548.7981121474	242916.7203614913
3	7	4302	4118974	99	268	91	859	54	4008	701529.8828459595	228697.69589574437
11	2	3262	489760	100	457	92	564	1058	144	663776.4431792796	209612.34582215457
7	2	536	7263012	101	167	76	165	191	6806	672301.3838587821	250558.77779029528
2	3	5436	2374465	102	163	35	887	1024	8679	664658.5343559467	213588.38910071243
6	3	72	4208270	103	574	64	680	83	3141	675242.2778268948	254677.29991365664
11	3	7392	370180	104	922	95	517	261	7617	670608.7246931054	245148.62621265746
10	0	7892	7883839	105	923	53	530	1086	3841	646597.6485230536	220283.7581159242
6	2	7454	2468413	106	944	63	934	2583	2123	643207.7030659561	248441.99845008523
17	3	6787	5721628	107	737	2	986	-1	7832	696691.0357651318	262292.96484699554
10	8	5583	7575391	108	456	84	680	133	8353	686788.9068042499	235284.34972848612
18	1	2923	8327210	109	330	89	485	198	3653	706631.4691462955	234509.25308941433
18	3	3320	987905	110	421	82	673	1510	4337	662869.0668148585	209967.64641249285
11	7	7763	3960332	111	641	82	875	83	7797	689413.8575134986	249410.5093441756
12	2	8641	9572566	112	73	91	327	4023	4981	666597.0470014333	255642.0343207725
22	8	4641	2823433	113	945	13	42	245	1013	669442.2706242162	216610.5568582142
6	8	7503	1075378	114	894	22	65	1087	7132	668214.2249314828	214051.2002848548
19	1	973	9641859	115	875	74	448	1102	6353	657065.3138082721	219766.29127887427
5	0	3065	4938635	116	912	61	575	198	817	689805.2390742657	236558.3793960154
8	0	6219	7047039	117	579	55	612	-1	2070	642784.7066446694	246830.64545563026
2	9	8341	2532213	118	480	99	509	230	8336	696069.5694892207	264537.04688994953
25	0	7475	6890019	119	474	8	164	4561	9168	703324.9109076732	270525.58060387406
7	4	2939	7983524	120	170	9	467	-1	3495	712738.0861213573	244609.36747314592
12	7	3676	3352882	121	556	94	175	261	7163	683378.8341002734	253263.63853850926
16	1	6064	6418540	122	895	27	7	1708	9987	666609.7821005472	213924.9941697417
9	4	3995	1374482	123	787	60	28	-1	2005	667968.6226577242	209743.9228516899
25	0	8523	1761987	124	594	71	520	133	3998	690416.946583756	233698.33879564068
4	5	3144	189125	125	337	43	353	-1	4489	685734.604775327	243900.5066460656
16	1	8291	7428925	126	942	20	604	4205	6342	660416.6940006128	248593.99239300744
22	1	9320	7047154	127	969	4	68	-1	9413	690886.2694047715	236001.7442764712
11	5	4317	5666830	128	132	67	194	136	9240	684136.1726988994	245899.80547425646
24	8	5571	9559772	129	757	76	924	1061	1028	664804.4016842439	209940.0631825848
5	9	7809	7720330	130	249	25	176	-1	4751	689100.0096659801	233489.31283605448
3	6	5662	7864424	131	8	54	471	1061	9699	664530.7850546165	223695.3594947023
17	1	2758	9090599	132	741	10	412	193	6537	689883.3495125133	250687.83257685695
5	9	8241	8991131	133	525	36	972	1701	4319	664700.2779578274	224250.26053030315
13	7	3249	1163129	134	300	99	662	-1	7282	681700.8640628355	246141.8645256501
14	5	6545	753433	135	85	57	538	1054	3556	663353.0125033673	215910.57582708576
19	0	8328	4505140	136	161	75	547	248	4342	673247.6623286682	235850.85446415292
21	1	1974	3867942	137	908	23	55	-1	1502	677746.7560295145	249114.66505394786
24	8	2020	1364525	138	12	40	195	1052	6963	673008.5011699985	219795.03361059015
14	4	8838	3367975	139	699	30	769	3312	1675	716056.5554751632	226222.98530451139
1	1	7433	9060568	140	794	11	323	30	2963	682603.828094102	232828.86562727205
16	6	2310	4208033	141	454	77	823	1322	8391	704893.4993005275	232221.40420863777
21	3	3455	7729481	142	365	38	891	261	4788	682776.8385842419	273867.312034726
10	9	367	5801016	143	79	39	175	194	5197	699468.2588075442	249503.85732705507
5	1	6668	8314678	144	207	20	424	261	7091	682060.5702436335	251635.8687811364
0	8	4614	2002864	145	664	83	672	1372	4731	689057.1161212898	204744.13470091755
10	2	8679	261363	146	930	29	17	-1	9580	683730.5113269485	253390.1699008891
18	4	3442	7021423	147	284	86	545	230	2317	689643.5300041562	280709.0972913174
15	8	7925	5834612	148	17	80	965	4208	75	657178.5479717136	242333.22445510287
14	4	1401	5382135	149	397	68	368	200	8688	681462.7006985361	246778.48555711165
20	3	798	2334670	150	583	39	290	-1	4013	683000.2998651168	253258.89394185142
13	9	5842	2620143	151	366	86	299	4141	5024	656979.4616957515	236181.01924938994
12	6	952	7379893	152	470	26	78	-1	5534	688112.664391292	238817.1826287637
16	4	2515	827930	153	826	33	817	1054	8458	648576.4164517306	212643.1948263988
17	6	2650	4920062	154	41	18	897	1064	7147	675870.2938587022	219411.65082831643
1	6	6771	4960478	155	874	44	168	261	3882	684319.3466546491	247992.92428960206
23	4	8970	8572189	156	457	71	361	1024	1537	655687.9629105108	209770.27396100134
3	2	7656	7245630	157	122	16	583	1058	3916	668262.9123566886	214469.11455126904
25	2	2158	6003494	158	819	13	779	261	9483	685194.0501537424	238252.0585689693
19	8	5817	4637790	159	932	27	525	-1	7406	686584.2208935422	251641.63036156734
5	8	7405	2179151	160	695	10	728	1372	9415	683632.6122913115	212946.1357654943
22	7	9996	3051653	161	97	95	200	245	4587	687140.8572465031	248622.7502078491
10	4	5246	9137516	162	201	37	156	-1	7216	698304.0367051192	205033.29634161785
16	8	4856	1696149	163	494	79	662	4911	6784	724049.5524641068	271971.57757883176
20	1	3799	1205105	164	283	39	487	4201	7029	654272.8639337748	240282.17212014768
17	6	6483	7699732	165	524	70	214	4021	2106	669337.5236831708	253343.63271231126
11	8	9071	4604915	166	208	60	664	4197	9151	658462.5973735817	241610.16843602207
19	7	4981	736166	167	182	48	126	66	6133	679954.6355757727	262139.23339578163
19	4	9755	6693926	168	842	66	468	66	3838	667715.5702700415	254573.1184876627
20	9	3954	6224015	169	407	75	389	151	9950	688335.36279357	238004.65035837176
8	2	5635	4812639	170	107	84	626	-1	8092	664665.2074814489	209322.6027793243
12	6	9074	877877	171	456	91	882	1024	7153	666777.5880638579	210051.64118742038
20	6	7965	3985938	172	439	36	417	4304	2311	667899.989864208	263344.65362813097
20	0	988	475419	173	636	96	939	4141	4954	658214.2139326897	235449.42740425112
6	7	8304	4683604	174	223	48	583	261	426	682615.602040004	245986.9213753676
18	6	9285	1934950	175	959	91	838	-1	4727	681737.3709805907	256365.8758720951
15	2	3857	3425369	176	206	47	754	243	7491	672074.1002794814	251168.15001091902
7	2	4629	1250906	177	193	92	961	4566	5155	710859.5447414818	268785.9883952906
19	5	4233	1311478	178	695	85	474	1052	8430	675305.9805077661	221292.877689651
1	7	6625	542044	179	631	8	69	-1	699	720020.4033149251	222991.23715666414
14	3	3132	7136287	180	284	46	485	4201	9255	640960.947664007	232690.91685473704
21	8	5553	1887089	181	490	79	510	-1	364	683816.5645805064	239278.96601907318
5	0	6993	3711465	182	239	66	208	1331	7931	676085.548725345	215068.98160452538
5	7	7226	5009853	183	29	43	172	1103	2115	655092.1543150311	222519.71718696965
7	8	1472	7863560	184	212	30	443	249	9078	672548.6014253406	249933.43466191043
12	8	4580	7714053	185	554	34	564	3443	7178	737838.5707175339	252833.74617295127
3	3	527	1637841	186	692	35	941	2939	8694	690910.6360346032	282582.0454782785
10	7	2612	67884	187	244	82	438	1064	3984	675717.8762168463	215574.6850372842
24	2	9891	3686072	188	483	57	315	1064	6789	675611.012621857	215349.91300236402
20	4	1154	4653368	189	653	32	392	158	3201	701501.6383612454	233944.15040428267
17	1	3284	7210066	190	426	84	556	261	1234	676431.812273216	237411.0801499373
22	8	1092	2916685	191	624	55	920	-1	8409	739716.7716583853	250028.32428183447
4	0	3192	7376723	192	764	14	855	-1	2776	664764.6449287947	212120.4436130731
4	7	464	8512816	193	408	29	246	69	1924	689600.8639138209	255821.1418093227
23	6	53	5474832	194	435	70	634	-1	4339	686684.4239274753	241492.21137954222
2	4	7756	9102404	195	558	22	910	4067	5519	669826.628061498	243931.4401314086
1	8	6083	6732797	196	875	69	996	-1	7346	702686.9899532828	241988.97157284894
18	9	768	1039759	197	510	70	721	156	6007	691963.2364301153	235732.9085438105
3	4	455	7776687	198	245	76	379	1301	7263	697025.9283305597	222743.30943250805
22	3	1010	9700789	199	2	21	884	1322	7001	710971.3680759829	226309.68559099996
1	5	8504	1873242	200	917	55	934	-1	1079	669093.6172784036	211805.67930843323
25	0	184	1507706	201	60	25	286	3392	5807	721754.9216726789	256318.68665439618
1	8	7692	4130003	202	652	2	739	261	8152	688825.5737006405	251200.37984338045
16	0	6889	8388932	203	366	14	877	56	1560	691776.3244889583	264219.8668211452
2	4	3323	1120782	204	781	82	800	261	2332	681113.5756657309	247281.41925094923
22	9	155	290454	205	973	36	824	4026	7936	649033.9522610854	252143.58407962363
13	0	1274	3366816	206	763	60	837	1024	7970	662626.4401973147	213851.88133168675
14	9	725	4728341	207	209	60	846	-1	9331	661862.7804931559	219566.84103606202
10	4	5953	6367294	208	944	13	783	-1	8437	730378.241652524	277815.25047887326
2	5	1901	354950	209	245	71	756	230	4733	698659.1002695193	282950.0003695411
5	9	9172	4802363	210	750	55	133	247	6194	681191.8943094889	241303.82062283452
8	0	250	9917516	211	980	68	754	-1	9980	656562.6228535731	242299.18232277836
4	2	3500	4442252	212	401	93	774	4037	405	659204.2864931227	258921.96775219953
14	2	1442	3127277	213	345	16	6	1372	3643	693331.5638366411	207760.27541235852
10	6	3007	127430	214	674	46	361	261	8219	695580.4426576201	261287.5938150886
17	0	1580	6239501	215	117	17	239	261	695	696987.6132771518	228516.96905307408
8	1	3266	5513501	216	180	88	707	-1	1329	684322.5271445655	239437.0848952274
16	2	6655	9957233	217	868	77	826	1054	4797	671742.5302889248	218057.28859648068
2	9	3485	6818406	218	482	22	131	-1	5618	721176.6623974456	257675.1917322629
19	4	1104	1429884	219	303	83	926	3001	585	728106.011440005	243747.85184682615
6	4	5238	2458389	220	646	5	879	197	3820	693327.3473412691	247175.8062260924
7	7	4790	406964	221	450	29	835	67	6744	682560.8420212087	274232.85075133375
3	0	8995	4421311	222	435	41	967	1059	6219	670009.6255284526	216106.8610167483
6	0	2953	1837886	223	367	74	886	69	3189	720239.2877009459	257371.69580737324
14	2	9340	9848985	224	730	96	865	230	4667	691909.5099046555	275138.5941568215
9	8	9197	8589148	225	168	33	790	230	1199	718628.7573454474	270508.8492663603
6	7	2566	2157302	226	0	33	67	174	5144	677226.9962863511	262796.5115114616
6	0	5210	377077	227	56	51	121	261	3520	690795.3261280941	252233.58706586715
8	4	9512	1325899	228	13	41	219	1064	5825	688990.1519535483	205901.01509961215
14	0	1095	3812876	229	378	12	158	1024	1479	662762.2262640268	214320.43079316744
24	5	8329	1918509	230	469	81	833	227	6752	699473.7352940006	264166.790807462
23	1	9817	8367302	231	279	37	788	1058	5102	659535.6415465736	227817.06017471006
23	6	1599	9102544	232	322	45	898	-1	5459	680523.6849962703	249941.27307901438
9	5	5144	1926248	233	395	82	664	261	8067	681296.3047396616	247421.1288201709
19	6	4592	330633	234	47	90	621	2	101	697905.8413172631	244610.67719461553
1	5	266	2166229	235	207	100	234	64	8706	690659.8885133993	255547.88439547105
21	5	2531	9341645	236	534	87	945	243	8836	669833.9681826609	246312.02194170174
16	5	5476	8319507	237	375	51	864	120	3400	712537.6640398063	237300.95747877512
0	0	9119	8395183	238	121	15	485	4	9916	682902.5785931865	232971.0236553753
25	9	6767	1110343	239	212	8	392	197	3920	689560.5085131591	246873.29707740073
8	5	3450	7211236	240	595	72	942	261	2921	677288.3472238038	251907.66334136084
8	7	4576	9108531	241	330	64	225	198	9193	696775.4470786934	240781.3612398818
1	3	6426	7812929	242	192	100	475	1364	5672	690553.4031209772	208889.77974238433
3	7	3549	7860030	243	779	90	474	117	8766	703607.7367164133	243122.4274980205
4	8	1287	7812923	244	288	82	962	157	2709	672304.9142960635	250801.87890806393
0	8	7214	4109675	245	177	27	776	-1	1099	722401.8922377418	258436.65078919023
2	1	1878	2501477	246	39	97	259	1370	7933	701690.3081093985	220434.95133972832
3	3	9289	9923295	247	7	97	19	1505	6605	678994.5993312954	201927.6261927795
9	7	9822	4273268	248	430	43	244	-1	9373	695734.4617666973	226165.33612492104
16	8	2772	7929567	249	552	19	833	191	6033	693370.4424664035	227937.056246778
0	6	1445	6597821	250	194	86	450	4001	7409	642499.3451976258	247428.6073361762
23	6	9542	1198031	251	165	57	712	157	6643	695168.6353816441	234601.05563676282
22	6	963	9125685	252	363	27	62	4003	4740	652229.5168802481	239580.21879457924
14	7	6949	7813555	253	730	29	536	158	9536	697080.0414023822	236617.29470818062
9	1	3677	5334895	254	654	64	908	1054	5717	669967.2659222897	216782.59302303614
11	7	5960	2176560	255	872	79	437	1701	7124	670991.602873037	210752.27212569065
17	0	2794	7953568	256	763	72	245	135	7583	700986.6835428639	228074.3784860342
23	9	2933	2125451	257	131	99	704	-1	6620	723236.0649338841	245946.56098659645
18	4	9217	4788637	258	6	58	813	1510	8064	668343.051819412	203293.46686187078
14	8	9395	37928	259	996	46	102	198	7651	702099.2716046565	242974.33060851577
16	0	4200	3872987	260	601	52	452	3408	7058	730013.8525702493	256489.7365469317
15	1	5608	3134987	261	927	24	965	261	4536	680094.7421386349	251849.33794358902
20	9	9701	4499053	262	983	41	880	261	4915	686358.9891925973	244888.5184054868
4	1	603	7598681	263	294	22	814	1058	3141	665864.4237788599	212197.54032104733
15	8	3551	1629448	264	385	94	16	4566	5376	710090.107252303	268853.3297285931
4	0	2386	2887511	265	716	8	445	1375	9032	711697.4835949452	225738.30769858492
22	7	7037	4059906	266	76	32	770	1372	4517	692473.7303693778	208772.98811959542
5	1	6724	9569641	267	634	35	657	4204	4317	651927.8069587309	248058.46544147359
14	4	3029	5115981	268	784	58	605	191	4798	738570.5462434303	274633.66774561483
10	2	1672	3381395	269	923	91	834	1053	2529	672160.8900773225	218400.9807125602
17	8	3822	2451583	270	689	39	511	3	4535	676392.497543041	239543.66467771982
5	0	5363	56698	271	514	26	581	1149	9840	644749.0234802014	222753.76695253895
15	0	4301	4505293	272	585	61	278	-1	207	706446.2304780057	239452.13608723783
11	1	8892	2344035	273	354	78	560	1705	4839	693407.247758939	226184.4865435633
23	4	490	3924362	274	763	86	650	-1	5488	678993.1236738282	259185.68311250772
22	5	6202	7563826	275	268	78	644	3443	1202	731947.9508666827	252815.3759553042
5	9	4427	9319596	276	97	6	128	-1	9783	733019.3556094028	252828.82797324302
21	2	5572	5831915	277	988	24	397	-1	397	690886.7176940553	236597.27677088743
1	1	2791	6690246	278	357	97	128	191	3170	702011.7342375768	241057.11376222223
18	6	223	1109299	279	444	67	154	1372	6678	693538.3570587849	208931.89241073787
24	2	9347	1049101	280	827	81	255	-1	9243	675754.8920529314	250022.23082333565
15	9	3267	8880207	281	750	34	867	66	744	681310.0630589556	245785.49208842605
19	1	2216	5452631	282	820	53	580	118	9345	705729.8740361693	239921.84775972046
18	1	2933	8876835	283	941	69	37	191	7920	677850.6407324497	241527.65809222072
4	7	2314	4289942	284	899	31	382	1372	7007	689317.9030457808	205905.85755328758
9	0	6893	5492787	285	347	30	686	1096	2571	655433.4245177322	233865.3894355022
1	0	6881	9457120	286	27	53	659	197	9554	675779.142757581	257374.03456014447
6	3	2369	496293	287	723	69	270	4225	5733	665505.9214515858	236400.0889219342
25	0	9778	7365354	288	158	2	162	-1	1174	663369.7879431789	252607.8835372841
11	5	2918	1779900	289	671	6	60	261	7499	684245.4689249172	251328.75254245606
5	2	2534	9282055	290	390	50	489	118	5529	708559.0678655277	232780.29608289126
0	6	3813	9342940	291	355	6	380	4281	7544	648516.5776136166	231787.20735246767
9	9	9521	1466285	292	655	48	415	54	8245	687002.8716497814	250332.05709354032
3	2	1539	756364	293	567	70	63	3425	2699	721518.5323510995	258477.6880481529
20	0	5899	9150191	294	994	6	322	-1	1209	705375.3306036692	231958.02604964603
23	9	4822	982638	295	872	25	881	-1	6639	710393.2507925739	273684.43282925466
7	1	4474	4373379	296	122	21	648	3424	2703	729925.4658490042	254792.46329373377
19	7	7238	2869192	297	270	8	715	-1	3376	729659.2264241384	271438.0000725065
4	9	1797	8045500	298	850	99	257	141	5942	684315.3455444303	238578.16769796758
22	1	2377	6602878	299	774	72	74	1301	2395	699786.5875585441	220931.83618024478
13	7	1489	51216	300	884	11	922	29	5769	689104.3330555682	282875.2944696814
18	6	3461	832916	301	809	18	197	3001	3389	738798.1894866783	253560.21322298958
6	2	3414	8736658	302	875	13	347	-1	469	700283.0525889996	204347.78762105622
1	4	7633	5106096	303	410	33	315	3443	3106	737447.3945088036	253416.95224215227
3	7	3914	5405687	304	993	28	753	250	4887	673666.06349212	250792.07161470916
8	1	8371	7416341	305	371	27	977	-1	7607	678709.243333605	249027.60308736286
7	8	2836	5736469	306	96	74	651	261	1850	682016.3627850697	244460.18581513752
5	6	2802	7737896	307	71	32	111	-1	5208	663121.4351370428	216002.47554110514
19	1	4650	2979038	308	915	83	896	261	9675	682247.4804192302	256131.09935968005
7	4	8244	7733229	309	97	87	395	-1	1585	682950.4487172157	245170.1659843508
14	8	9186	6004457	310	878	28	198	3377	6712	726762.331554246	236620.05307822733
20	7	7392	3763081	311	890	51	755	261	6032	699183.2248430635	237307.12284569995
15	6	3011	8160872	312	97	69	468	-1	508	709340.5520653675	267772.14205567865
13	3	5724	1968065	313	670	79	382	245	5680	691290.0911345306	236599.2208484227
20	8	3380	3814322	314	855	54	192	29	6148	702773.0603409599	285147.74871823745
12	2	5759	8807417	315	390	36	483	4751	1215	721400.4090574777	255762.06019977538
9	1	6539	2402233	316	660	60	761	1058	6124	666465.8452351292	208640.95846913257
6	8	1119	2474934	317	94	66	287	3334	136	720421.2927406474	230162.54966520358
9	1	622	3135636	318	282	72	772	4566	1505	709401.3612176613	267721.6598615877
24	0	8483	4181787	319	840	54	818	1052	6440	669319.7117189011	216138.9114368124
2	0	3093	6043765	320	986	46	282	4235	9535	670649.8311760997	231849.59217558862
10	2	4914	8991342	321	734	72	778	3441	956	738963.636759631	253015.83484833318
10	7	4789	4311219	322	96	95	264	261	5732	697471.3388630147	245773.87495966302
0	5	3297	8806675	323	371	93	93	-1	2080	723791.3115974544	255820.59567320938
8	7	7765	6950721	324	895	87	900	-1	1898	644244.4123352033	229124.5624061904
18	9	9671	676111	325	849	6	202	62	3104	684725.8592449094	253746.68928258933
17	4	683	3216051	326	56	54	789	1054	6304	666388.1025474834	210286.7682094737
25	9	5244	7282565	327	323	66	503	3425	4874	717488.9341484145	257871.21271208694
3	8	2911	1409215	328	941	49	154	-1	8321	640663.0605223211	231596.27736627418
20	7	6804	8582331	329	435	94	620	117	8137	701045.3836997605	243195.60173995807
4	9	9942	4711864	330	163	1	618	261	6538	699821.8148809577	251596.43726424794
0	6	4632	2880789	331	989	100	341	-1	6155	722306.451525136	275860.7473665545
9	0	2999	8312980	332	859	34	266	52	1767	674356.570081085	248386.70517038446
12	1	7324	5150616	333	41	94	515	135	107	692607.6189211069	255710.00272535955
18	4	4809	3615974	334	695	5	225	-1	1189	731449.8262442697	266140.87757158745
10	7	9625	6876519	335	4	43	59	-1	7110	724192.3636011983	277965.28437457624
16	4	6098	8062308	336	146	53	589	66	528	692791.3305793991	249384.2341283538
9	8	1923	6719176	337	535	90	308	2494	7657	641473.2128158481	247360.85429122648
9	0	7448	9834978	338	471	81	790	1372	9494	690821.5955213323	209777.5053540852
18	3	2035	7573279	339	604	87	565	3335	6944	713818.7090428696	234327.30672094924
25	0	9362	2302547	340	712	63	434	3402	1218	726387.1583052833	254716.60777722023
12	2	6926	2727153	341	607	64	251	-1	743	694502.4569499537	263568.0739681746
8	8	9703	3725262	342	368	77	63	3336	5328	714040.2514373956	233991.84844176404
18	4	5178	8316769	343	178	25	350	-1	9020	713974.9464506683	257056.4773647509
