ZoneId	xCenter	yCenter	xMin	yMin	xMax	yMax	Area	Name
3256	758401	240165	755972	238310	760830	242020	9339472.04497	Rüthi (SG)
4003	649177.5	249339.5	647177	247942	651178	250737	5351531	Buchs (AG)
3844	829440.1	163622.4	825441.5	157706.6	833438.7	169538.2	41602848.345	Santa Maria Val Müstair
6403	554127.5	202088	552995	201013	555260	203163	2578339.5	Bôle
5752	526751.5	170769	525303	169168	528200	172370	4492793.5	Croy
4012	648841.5	247304	646522	244445	651161	250163	10583636.5	Suhr
2425	623980	242317.5	621510	240865	626450	243770	7765088	Holderbank (SO)
3536	761746.2	160178.85	757592.2	152298.4	765900.2	168059.3	55967889.88252	Riom-Parsonz
495	570792.5	205582	568550	203269	573035	207895	10776651.6052	Gampelen
1703	674773.5	228276	672415	223042	677132	233510	18435417.3302	Hünenberg
4501	731332.5	264253.5	728910	261867	733755	266640	10945888	Kradolf-Schönenberg
4671	730322.246372035	278096.5	727864	275918	732780.492744071	280275	11513822.027	Kreuzlingen
5073	709747.5	139026.5	706995	135615	712500	142438	19481638	Giornico
2086	564744	171886.5	563458	170455	566030	173318	4249230.5	Massonnens
1322	700532.709528014	228275.65	697263	225578	703802.419056028	230973.3	13734204.560996	Freienbach
5174	724606.5	103524	722318	102305	726895	104743	5283245	Cimadera
3571	737533.95	181704.75	735238.4	180224	739829.5	183185.5	7193735.64617	Castrisch
2460	601742.5	218038.5	600735	217235	602750	218842	1747383.5	Oberramsern
2458	602667.5	220218.5	600895	219262	604440	221175	3279673	Mühledorf (SO)
5067	706350	150465	705260	148355	707440	152575	3959893.5	Campello
3574	733395.2	181270.5	731293	179983.6	735497.4	182557.4	4459974.24833	Ilanz
2441	602045	219064.5	600705	218207	603385	219922	2051022.5	Aetigkofen
5401	565141.5	129551.5	560970	126770	569313	132333	16357083.5	Aigle
5171	711603.989312018	92013.1	710395	90728.2	712812.978624035	93298	2835913.84808	Caslano
4319	671074.5	265959.5	669562	264267	672587	267652	5508367	Siglistorf
1216	701109	180863	692143	172758	710075	188968	144769352.54	Silenen
5531	536286.5	170525.5	534698	169133	537875	171918	5663221.5	Penthéréaz
3238	765921.926606047	252597.8	764810	251050.6	767033.853212095	254145	4233579.91125	Widnau
3421	721494.5	260058.421524658	717947	258296	725042	261820.843049315	13185396.5388	Bronschhofen
2194	578888	177553	578148	176928	579628	178178	1008381.5	Ferpicloz
2285	580127	196192.5	579032	194625	581222	197760	2535583.5	Staatswald Galm
2274	576791.668035067	199027	575813.336070134	198082	577770	199972	1126114.22485	Muntelier
5938	538864	180786.471575177	536273	178558	541455	183014.943150354	11267555.515	Yverdon-les-Bains
6616	505242.15	122712.542732	503822.3	120895	506662	124530.085463999	6126600.25015	Collonge-Bellerive
1135	635451.5	211636.5	632508	206025	638395	217248	37790211.4435	Luthern
2002	557171.2	190603.6	556177.4	189840	558165	191367.2	1435115.25031	Autavaux
1203	684756.5	186621.5	678290	180688	691223	192555	46891821.8462	Attinghausen
4198	658678.5	248440	657475	247380	659882	249500	3514036.5	Hendschiken
2864	629375	255640	628360	254415	630390	256865	2254665	Thürnen
4591	712149.5	265410.5	710617	262886	713682	267935	7716762	Matzingen
5873	511177	168661.85	506638	164733.7	515716	172590	32548239.3899	Le Lieu
96	677935.5	254845	675582	252440	680289	257250	14630003.5	Regensdorf
4261	634320	268708.5	633060	266960	635580	270457	4516796	Wallbach
2088	562589	180477.5	561065	178700	564113	182255	5183110	Middes
1068	680025.278488119	208108.95125288	678290.556976238	205459.90250576	681760	210758	8912125.7691	Vitznau
6726	604582.9	240922.5	600118	239007	609047.8	242838	18342085.933	Vermes
3836	735933.7	127242.7	731983.7	123376.3	739883.7	131109.1	13125883.675	Verdabbio
2134	574604	152884	571478	149330	577730	156438	24170995.5	Grandvillard
4066	667933.5	246891	666897	245597	668970	248185	2445007.5	Eggenwil
8	675127.5	232071	673845	230692	676410	233450	4679905.5	Maschwanden
5309	684735.5	129408	681893	125853	687578	132963	20065057.5	Cerentino
3111	760329	253840.29	756238	251282.58	764420	256398	14672822.44051	Oberegg
2045	563064.125	192586.5	561893	190588	564235.25	194585	3504108.27335	Vallon
6727	599099.5	244767.5	597066	241820	601133	247715	12769833	Vicques
5930	535008	179569	533893	177715	536123	181423	4146261.5	Suscévaz
5310	688979	128833	686475	125588	691483	132078	14768589.5	Cevio
2033	559230.5	188247.5	558068	187195	560393	189300	2593967.5	Morens (FR)
391	598088.5	220118.5	596060	218522	600117	221715	6717148.69	Oberwil bei Büren
5188	711434	95944	710855	95315	712013	96573	996217.5	Iseo
5251	720110	79170	718870	78405	721350	79935	2463512	Coldrerio
943	608411.5	176535	606900	175130	609923	177940	4396747.35101	Uebeschi
5821	564543.035	191783.355	563365	190556.71	565721.07	193010	3111694.5811	Missy
1375	705319	210970	700463	206705	710175	215235	46565227	Unteriberg
180	700871	254398	698617	251880	703125	256916	12841779.5	Weisslingen
4258	626856	267798.5	623652	264725	630060	270872	16030324.5	Rheinfelden
4097	649894.5	262359.5	648462	261282	651327	263437	4230965.5	Elfingen
2939	690570	285622.5	686068	282357	695072	288888	31017055.5	Schaffhausen
246	672280.5342215	253628.429927	670617	252744.862066	673944.068443	254511.997788	2767464.01616	Oetwil an der Limmat
6631	496617	115755	495627	114470	497607	117040	2845357.5	Onex
5610	550388	147931.976663049	549838	146948.953326099	550938	148915	905664.689162	Saint-Saphorin (Lavaux)
2227	568884	172004	567650	170438	570118	173570	2815017	Villarlod
690	594379	231802.5	590100	229417	598658	234188	24617164.4891	Court
4001	646059.87	248916	644377.74	246725	647742	251107	8923771.2533	Aarau
5825	561196.5	176427.5	560403	174625	561990	178230	2472228	Sédeilles
61	679742	271912	678267	270527	681217	273297	4918173.5	Hüntwangen
4323	664396	271366.5	662735	269113	666057	273620	6519442.5	Zurzach
5215	719224	97989	717940	97133	720508	98845	2231143	Pregassona
536	598546.5	207588	597208	206698	599885	208478	2861853.55069	Diemerswil
4094	649009.2	260856	647843.4	259135	650175	262577	3959034.515	Bözen
3540	770598.4	155559.55	767491.8	152776.1	773705	158343	23222927.6548	Sur
5186	715358	91739	714968	90960	715748	92518	632495.5	Grancia
6421	553536.5	218269	548795	212503	558278	224035	55661642	La Chaux-de-Fonds
5433	516121	149637.5	514689	148655	517553	150620	2522184.5	Pizy
3311	731432.57	224632.65	726468	221630.3	736397.14	227635	43017356.6717	Amden
4209	654423.5	244474.5	652637	242357	656210	246592	9615618	Seon
444	580453.5	226723.5	578422	223962	582485	229485	15009192.4641	Sonceboz-Sombeval
4144	646853.84	239658.46	644791.9	238250	648915.78	241066.92	6282537.85612	Schöftland
39	698157	270965	696227	269323	700087	272607	6469746.5	Thalheim an der Thur
5907	549724	181185.5	548365	179758	551083	182613	3984440	Chavannes-le-Chêne
1089	647930.5	227299	646168	224795	649693	229803	9732869	Knutwil
12	680201	233263.5	678250	231465	682152	235062	6516294	Rifferswil
3036	755730	253567.5	753420	252225	758040	254910	6819407.5	Wald (AR)
5503	530933	158624	529933	156950	531933	160298	5284810	Vufflens-la-Ville
5536	541458	167340.5	540283	166393	542633	168288	2688661	Sugnens
573	645290.64	175666	640615	169042	649966.28	182290	47991233.1254	Brienz (BE)
4137	655348.5	236216	654422	235530	656275	236902	1150143	Leimbach (AG)
6140	577724	113960.5	573475	111583	581973	116338	13739026	Saillon
3707	751597.75	169029.45	749330.9	167316.5	753864.6	170742.4	8180958.775	Lohn (GR)
1084	655577.251590529	223322.294023926	653527.503181057	221956.588047851	657627	224688	5938891.67596	Eich
6101	617380	124526.5	615745	120865	619015	128188	7647253.5	Agarn
6457	567924.730037933	205407.5	566136.460075865	203240	569713	207575	3348286.4802161	Marin-Epagnier
4806	707500	277188	705202	275033	709798	279343	12004397.9578	Eschenz
6431	545964	213695.5	543255	211478	548673	215913	11525985	Les Brenets
4036	668071	260408.5	666852	259040	669290	261777	3982673	Oberehrendingen
875	607043.5	186326	605980	185375	608107	187277	2275352.76517	Mühledorf (BE)
1	679636	236562.5	678117	234585	681155	238540	7903687	Aeugst am Albis
2479	600536.5	259291.5	598653	257768	602420	260815	5343063.5	Rodersdorf
116	700218	237345	697875	235835	702561	238855	8765437	Grüningen
136	682443.5	237206	680607	234985	684280	239427	8686667.98085	Langnau am Albis
3218	751916	260944.5	751080	259787	752752	262102	1987337.10054	Tübach
5929	536165	174755	534675	172830	537655	176680	6659534.5	Suchy
5554	544944.674075158	190696.200736924	542010	188689.401473848	547879.348150315	192703	11400620.0975	Concise
3274	753402	234195.705264066	748522	229480	758282	238911.410528132	41522405.001	Sennwald
2146	571981.1	172185.5	570100	171043	573862.2	173328	3391347.51205	Le Bry
2937	686876.5	281527.5	684483	279610	689270	283445	8017986	Neuhausen am Rheinfall
661	573679.05	194120.5	572871.1	193442	574487	194799	1006097.91	Clavaleyres
2845	630446	254988	629622	254251	631270	255725	1442006.5	Diepflingen
581	632072.795284658	170431.41	629707.590569315	168224.82	634438	172638	4299212.9468	Interlaken
308	583975	206094	581630	204420	586320	207768	4538048.96957	Niederried bei Kallnach
5742	528659	174311.5	527108	172918	530210	175705	5468782	Agiez
4046	661457	252032.5	660277	250425	662637	253640	4381771.67566	Wohlenschwil
4200	651575.5	248207	650396	247055	652755	249359	3255621	Hunzenschwil
5113	707835	114419.86882957	701210	111746.737659139	714460	117093	19294377.08755	Locarno
3862	769237.3	197962.25	766600.1	192738.9	771874.5	203185.6	33316914.5448	Furna
6709	596976.5	245639	594050	242190	599903	249088	19701623	Courroux
5843	582245	149503	579025	143113	585465	155893	48553788.5	Rougemont
6780	566636.5	248943	564173	245588	569100	252298	21716287.5	Chevenez
4811	711578	274901.5	708728	272378	714428	277425	13669118	Herdern
3004	735367.067104775	246028	732392.134209551	243499	738342	248557	17400016.2818	Schwellbrunn
3025	754215.5	252082.5	751908	250285	756523	253880	10013879.5	Trogen
927	618583.5	177911.8	616392	176743.6	620775	179080	5550308.90415	Heiligenschwendi
5475	523930	162378	522755	161233	525105	163523	2582280	Chavannes-le-Veyron
5855	512028.4	142851.223369649	510855	142087.446739297	513201.8	143615	1661932.40146	Dully
301	588145	210371.5	586200	208435	590090	212308	7917006.29224	Aarberg
6797	578743	244861.5	574523	241400	582963	248323	12012683	Montmelon
2302	588347.5	185961	585680	182512	591015	189410	16789261.6012	St.Antoni
4272	645429.5	234840	644192	233998	646667	235682	2215428.5	Attelwil
51	683392.5	261739	681665	260183	685120	263295	4283951.5	Bachenbülach
1033	670587	220257	667842	218437	673332	222077	10310501	Inwil
2034	552105.5	182836.5	549903	181048	554308	184625	8195284.5	Murist
2258	582368.5	205231	580880	204272	583857	206190	3122855.5	Fräschels
3851	783724.05	182024.05	774329.5	171440.4	793118.6	192607.7	254404794.722	Davos
2029	565897.5	184553	563205	182148	568590	186958	12531396	Montagny (FR)
6081	594151.5	116209	592783	114063	595520	118355	5090276.5	Les Agettes
5512	543939	171442.5	542830	169515	545048	173370	4255629.5	Bercher
6702	583605.5	245686.5	581278	243253	585933	248120	12337880.6637	Boécourt
6054	661419	134439	655140	128630	667698	140248	65030496.5	Binn
5671	557429	173559	556193	172520	558665	174598	3215912	Dompierre (VD)
4506	732381.5	267405	730218	265393	734545	269417	9144718	Sulgen
5621	528878	157911.5	527498	156848	530258	158975	3921457.3298	Aclens
5136	688908.5	117778.5	684403	114403	693414	121154	29864775.5	Onsernone
6196	625196.5	130754	623753	128493	626640	133015	6994758.5	Hohtenn
5034	714296.5	143739	711910	141603	716683	145875	11520841	Corzoneso
2518	615645	226131	614615	224532	616675	227730	3376719	Etziken
5668	554301.5	174898	553463	173923	555140	175873	1630115	Cremin
4113	656494.25	255220	655272	253910	657716.5	256530	3308307.0195	Scherz
2108	562297	168314.5	560956	166920	563638	169709	3215547.5	Villariaz
6703	586563	249266.5	583718	247353	589408	251180	13578198	Bourrignon
6010	647260.5	130333	643323	127793	651198	132873	18734205	Termen
3771	764412.9	131521.35	759998.5	128551	768827.3	134491.7	28279136.7868	Bondo
6754	561931.5	229064	558395	226168	565468	231960	20390382.5	Le Noirmont
3743	803653.1	184670.8	800168.4	177279.4	807137.8	192062.2	46250914.599	Lavin
5263	718254.398726004	85393.1233849626	717150	82645	719358.797452008	88141.2467699252	5971435.91751	Riva San Vitale
6172	649148.5	133282.5	647462	131033	650835	135532	5842451	Bister
3787	781810.8	151052.6	777342.2	147995.6	786279.4	154109.6	28676442.1254	St.Moritz
1627	723857.5	203132.5	719390	197770	728325	208495	30645847.5	Schwanden (GL)
4304	661148.5	268112.5	659210	266180	663087	270045	6892538.42939	Döttingen
4180	654085	268572	652490	266422	655680	270722	7717734	Wil (AG)
4139	656277	231942.5	654317	230370	658237	233515	6383928	Menziken
2093	566125.5	173696.5	564798	172245	567453	175148	3952284	Orsonnens
6628	498328.5	115694.5	496890	113697	499767	117692	4769103.5	Lancy
700	593451.5	236220	590073	232990	596830	239450	19601707	Moutier
6612	503201	116386	501845	114592	504557	118180	4120302	Chêne-Bougeries
3406	729934.5	245879.5	726837	241122	733032	250637	32979602.2422	Mogelsberg
2853	630806	263422.5	629617	261815	631995	265030	5064801.5	Maisprach
5457	571244	191289	570513	190343	571975	192235	1110617	Donatyre
413	612626.8	220727	611013.6	219022	614240	222432	6932306.52324	Koppigen
990	619622.5	231586	618275	230812	620970	232360	1477502	Walliswil bei Niederbipp
764	610248.5	172352	608650	170857	611847	173847	5475972.32511	Niederstocken
1614	718683.5	204517.5	714902	201802	722465	207233	20290602.5	Luchsingen
5162	715774	99201.5	715238	98638	716310	99765	762616.5	Cadempino
2075	564042.5	168430	562285	167260	565800	169600	3316651.5	Estévenens
5675	554001.5	173210.5	552028	171223	555975	175198	6267194.5	Lucens
7101	693809.5	284014.5	691582	282312	696037	285717	7622040.5	Büsingen (D)
3251	758722.862156254	244746.865	754720.724312507	237426	762725	252067.73	39489093.49147	Altstätten
4109	651657.5	254330	650665	252990	652650	255670	3390756	Oberflachs
4401	749253.4	264635.56	747724	262483.62	750782.8	266787.5	5939813.33583	Arbon
3638	756233.5	175935.4	753896	173421.7	758571	178449.1	14287767.0234	Scharans
2081	561406.5	164073	560115	162638	562698	165508	4425428	La Joux (FR)
606	613650.915	184817.43	612639.83	183958	614662	185676.86	2197169.39907	Brenzikofen
137	685665.916178669	236398.992048011	684402	235340	686929.832357337	237457.984096022	2763580.05163	Oberrieden
4416	741129	269414	739640	267525	742618	271303	6052702	Hefenhofen
2522	614925	223853.5	614065	223155	615785	224552	1432329	Hersiwil
5522	541970	169465.5	540105	167613	543835	171318	7349558.5	Fey
666	582666	195739.5	580880	194052	584452	197427	4755529.5	Kriechenwil
432	570188.5	223846	567892	220180	572485	227512	13488878	Cormoret
2308	591213.5	190866	588477	188622	593950	193110	16119519.2867	Ueberstorf
4235	672060	231821	670719	230137	673401	233505	5513330	Mühlau
5922	537003.1	182350	535230	181360	538776.2	183340	3548237.56349	Montagny-près-Yverdon
1063	671153.696080079	211517.5	669238	209550	673069.392160158	213485	7282333.09546	Meggen
5713	504959.832107933	135416.193844651	503172	134272.387689302	506747.664215867	136560	4293098.05211	Crans-près-Céligny
2158	570739	154856.5	568985	153945	572493	155768	3727446	Villars-sous-Mont
6220	563955	116480.5	561520	113563	566390	119398	14275836.5	Vérossaz
2576	641927.5	244486	639995	242562	643860	246410	5832965	Gretzenbach
5217	713327.5	109300	710775	106905	715880	111695	13351789.5	Rivera
708	608415.25	242487.25	606735.6	241136	610094.9	243838.5	5561705.49	Schelten
2583	643139.5	247119	641967	245686	644312	248552	3732258.5	Schönenwerd
1601	722293.5	199396	718917	196605	725670	202187	9747007	Betschwanden
710	583126.5	235802.5	581643	233915	584610	237690	5644956	Sornetan
5041	723092	143738	718213	137178	727971	150298	80304136.0263	Malvaglia
323	622333.5	231935	620385	230635	624282	233235	4793037.015	Bannwil
5105	706314	135254	703008	131583	709620	138925	25725422	Frasco
2142	567505.5	146396.5	564608	143053	570403	149740	20017769.5	Montbovon
112	703709.5	236402.5	701577	233910	705842	238895	11591844	Bubikon
5935	543418	181674	542848	180913	543988	182435	863754	Villars-Epeney
545	602903.367542765	216722	601708	215387	604098.735085529	218057	3823435.20216	Mülchi
191	689031	249260.5	686407	246892	691655	251629	13617259.5068	Dübendorf
3211	747634.5	261353.94	745567	260037	749702	262670.88	3737093.43676	Berg (SG)
5196	716546.5	96801.5	715945	96290	717148	97313	726813.5	Massagno
588	637154.5	174907.576247264	635733	173415.152494527	638576	176400	4290134.18901	Niederried bei Interlaken
3612	725355.75	175930.65	720221.7	170528.3	730489.8	181333	61512016.2113	Obersaxen
5097	696895.102526152	109080	693475	106315	700315.205052303	111845	17788185.9014409	Brissago
2326	560196.5	161850	557900	160490	562493	163210	7462512	Le Crêt
6408	555180.166171788	199235.533382051	553568	198106.066764102	556792.332343577	200365	3692156.36863	Cortaillod
212	705465.5	265493.5	702844	263100	708087	267887	9713144.5	Bertschikon
5165	716884	107008	715250	105853	718518	108163	4527471.5	Camignolo
1331	675910	215000	672175	211348	679645	218652	29357838.0328	Küssnacht am Rigi
5108	709983	116005.157396548	708543	113892.314793095	711423	118118	7031234.88488	Gordola
6245	609300.5	117701.5	606953	115158	611648	120245	15548887.5	Saint-Jean
542	604578.5	217619	603117	216148	606040	219090	4451877.7645	Limpach
6109	612280	133914	610200	130775	614360	137053	9864319	Inden
2099	557119	167765	555015	165675	559223	169855	8457133	Siviriez
6803	563896.5	248686.5	562885	246743	564908	250630	4457852.5	Rocourt
2882	625943.5	249416	624762	247390	627125	251442	6513367.5	Bennwil
3234	766584	250557.138621684	764400	248340	768768	252774.277243368	11201575.2656	Diepoldsau
2476	605289.5	258117.5	603639	256430	606940	259805	7522015.5	Hofstetten-Flüh
574	649781.15	175926.5	647018	171340	652544.3	180513	17664368.11389	Brienzwiler
3217	750280.365	262331.85	748987	261002	751573.73	263661.7	4481231.65103	Steinach
5745	527845.5	182404	523373	180015	532318	184793	22531213.5	Baulmes
26	691104.5	269799.5	689707	268110	692502	271489	5586600	Dorf
977	619464.95	229010.4	618400	227560.8	620529.9	230460	3191960.24446	Heimenhausen
2250	574540.95	194941.5	573445	193268	575636.9	196615	3363618.03504	Courgevaux
566	623056.895274843	166465.920995734	621113.890549685	164573	624999.9	168358.841991468	6032291.55943	Krattigen
5093	694027.5	117985.5	693005	115641	695050	120330	5051969.5	Berzona
3928	767647.05	191062.5	766473.7	188401.3	768820.4	193723.7	5246870.71811	Pagig
4067	665877	246805	664527	245725	667227	247885	3074871	Fischbach-Göslikon
6218	563026.5	106819	556980	102263	569073	111375	53514014	Salvan
359	609651.5	201613	605640	198248	613663	204978	24827096.6138	Vechigen
5687	546388	166898	544578	165583	548198	168213	4525446.5	Sottens
2765	609705	265106.5	608225	264090	611185	266123	4432237.5	Binningen
2299	590701.5	171545.5	585868	164948	595535	178143	59279322.7698	Plaffeien
604	615384.5	185234.5	614042	183892	616727	186577	3415259.59668	Bleiken bei Oberdiessbach
1001	646444.5	207191.5	645085	205148	647804	209235	6945167	Doppleschwand
2614	608229	248795.5	605938	247568	610520	250023	7546886.5	Büsserach
6475	562991.5	215165.5	560960	212003	565023	218328	12765609.5	Dombresson
3694	743340.8	156191.85	738301.6	151158.1	748380	161225.6	43037849.5715	Splügen
6008	648717.5	125981.5	643320	121303	654115	130660	47496240	Ried-Brig
225	702077.5	267523.5	700667	265703	703488	269344	6036536.67509	Rickenbach (ZH)
330	625163	221901.5	623338	220370	626988	223433	4635467.24031	Leimiswil
6744	568905	230135	567475	228610	570335	231660	4063712	La Chaux-des-Breuleux
142	692032.61301173	231286.4	689255	228428	694810.226023461	234144.8	17422580.2502	Wädenswil
1510	669173	204006.3	666068	201758.3	672278	206254.3	9116657.24545	Stansstad
360	593035	203481.5	587835	200975	598235	205988	36315892.5343	Wohlen bei Bern
3641	756158.7	181009.9	753899.2	179665.8	758418.2	182354	7465271.295	Trans
5795	553856.5	155804	552520	154205	555193	157403	5773173	Palézieux
5254	720441.5	83099	718440	79555	722443	86643	6728762.5	Mendrisio
2321	555276.5	151887.5	553300	149250	557253	154525	9762774.5	Attalens
3377	724657.68211545	239142	719622	234482	729693.3642309	243802	43945979.6247	Wattwil
5798	547329	162120	546125	159550	548533	164690	4821458	Ropraz
3923	765714.55	191022.4	764287.8	188910.8	767141.3	193134	5425179.95371	Castiel
3665	749567.25	179421.15	747744	176975.7	751390.5	181866.6	11345748.8979	Präz
766	598831.5	166585.5	594695	160748	602968	172423	46088071.3925	Oberwil im Simmental
3506	761019.7	176749.85	756736.4	171260.5	765303	182239.2	42511915.4335	Vaz/Obervaz
2763	614508.5	260614	612640	259118	616377	262110	6935488.5	Arlesheim
2774	605142	264998.5	604477	264157	605807	265840	1358279	Schönenbuch
1141	637383	229001	635713	227390	639053	230612	7226076	Richenthal
682	588426.5	231363.5	587547	229052	589306	233675	5682110.78788	Bévilard
6716	591726.5	249583	589408	249108	594045	250058	2354278	Mettembert
353	599800	203008.5	598815	201900	600785	204117	1910311.15971	Bremgarten bei Bern
2971	675335.5	283911.5	672518	281488	678153	286335	15323218.5	Hallau
3633	753677.8	176280.3	752985.5	175282	754370.1	177278.6	1317243.915	Fürstenau
984	618966	224774.479346881	617737	223512	620195	226036.958693762	2965302.51213	Oberönz
3944	764591.9	196030.15	762261.7	193093.7	766922.1	198966.6	14469427.652	Says
2833	621016	256702.5	619600	255625	622432	257780	3567249	Seltisberg
3372	732043.5	240121.05	729027	237610.1	735060	242632	20168571.9665	Hemberg
3914	763703.25	187338.25	762108.8	185462	765297.7	189214.5	6405128.26229	Praden
3692	741539.1	155126.2	739251	151187.4	743827.2	159065	17448558.1838	Medels im Rheinwald
5406	569229	117428	566778	115143	571680	119713	14181017	Lavey-Morcles
5238	722724	106110.5	722575	105703	722873	106518	80130.5	C'za Corticiasca-Valcolla
6630	495111	120995	492575	119340	497647	122650	9963807.5	Meyrin
501	572200	208115	570565	206960	573835	209270	3292433.5766	Tschugg
4115	652367.5	256260	649900	254720	654835	257800	8835677.5	Schinznach Dorf
1617	725487.5	217884.7	723185	214245	727790	221524.4	21868943.8248	Mollis
3521	780438.65	166072.3	773313.3	157965.6	787564	174179	145738373.154	Bergün/Bravuogn
155	695218.799125433	235066	693822.598250865	233530	696615	236602	4767081.46494	Männedorf
387	594411	225935	592377	223385	596445	228485	7374107.23949	Lengnau (BE)
5760	528390.5	179741.5	524648	178458	532133	181025	9838148	Rances
626	614264	200925.45	611558	197895.9	616970	203955	17194967.8035	Walkringen
6502	535331.5	197813	533278	195328	537385	200298	12902976	Boveresse
6175	646983.5	136853.5	646172	135012	647795	138695	2533067	Goppisberg
782	661587.55	162189	651676.1	152390	671499	171988	200789368.137	Guttannen
951	622231.5	213173	619443	211163	625020	215183	11500142.5099	Affoltern im Emmental
5225	715917.5	95474	715285	94755	716550	96193	849092.5	Sorengo
85	672870.59	255192.604945	671734.5	254212.20989	674006.68	256173	2860269.93476	Dänikon
2200	571579	187212.5	570105	185505	573053	188920	5338442.5	Grolley
2281	571736.383742691	200864.257623484	569704	198459.515246968	573768.767485382	203269	7520031.64264	Haut-Vully
3614	730461.5	184266.85	728357	181108.6	732566	187425.1	11579898.6824	Rueun
6510	542226.5	199884	539108	196573	545345	203195	24646529	Travers
5223	713254	105085.5	710248	103143	716260	107028	8709778	Sigirino
736	581052.5	211343.084988515	579969	210171	582136	212515.16997703	1848161.0309	Hagneck
539	605229	213845	603740	212475	606718	215215	4710820.41692	Grafenried
781	670766.5	172922	663795	165041	677738	180803	116289225.686	Gadmen
5569	538672.5	188887.5	538250	187715	539095	190060	842020.5	Vaugondry
2847	632495	251546	631025	250085	633965	253007	3960133	Häfelfingen
3233	763764.99	255091.434642747	762175	253635	765354.98	256547.869285493	5624501.81709	Berneck
3339	716789.9	231609	714797.8	229808	718782	233410	7554532.07738	Uznach
5012	717835	125436.5	715100	123023	720570	127850	7487885	Moleno
5589	535983.5	154449.5	535315	152930	536652	155969	2190629.58276	Prilly
2865	635391	254766	634067	252630	636715	256902	5911601	Wenslingen
2782	608166.5	253037.5	605615	251240	610718	254835	9393441.5	Brislach
5720	504395	143180	502205	141470	506585	144890	3972885	Givrins
5748	525903	174170	524383	172670	527423	175670	5458196.5	Bretonnières
5044	712457.5	149495	709335	147470	715580	151520	10287979.5	Ponto Valentino
2037	554441.5	176154	553345	175190	555538	177118	2238400.5	Praratoud
532	600586.884909671	211798	599670.769819342	210698	601503	212898	2192075.28994	Bangerten
2455	604762	223648.5	603125	222355	606399	224942	4424151.75	Lüterkofen-Ichertswil
55	681201	269650	678397	267225	684005	272075	9037717	Eglisau
3592	734629.89422232	177240.85	733253.9	175615	736005.88844464	178866.7	4457378.21637	Cumbel
6134	586398	110844	583853	107100	588943	114588	15244453.5	Isérables
6281	633781	134429	630975	127903	636587	140955	31438472.78673	Baltschieder
57	686162.5	266326	683950	264057	688375	268595	8373871	Freienstein-Teufen
872	608094.5	185185.57846277	606432	183500	609757	186871.15692554	6134088.55441	Kirchdorf (BE)
3790	780215.854473572	148112.6	775345.9	142920.2	785085.808947143	153305	44754874.3025	Silvaplana
6434	540830.5	206891.5	535553	203763	546108	210020	15667419.5	Le Cerneux-Péquignot
5494	521664	160104	519393	157778	523935	162430	11083748.6363	Pampigny
1146	644429	226096.5	643535	224830	645323	227363	2948437.5	Wauwil
6605	498089	111762.5	495952	110715	500226	112810	4995816.23	Bardonnex
89	679864	260664.5	678150	259591	681578	261738	3617413	Niederglatt
175	698723.5	256739.5	696720	255087	700727	258392	7608034	Kyburg
