Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EmConcept;%OfEmConcept;EFA;SizeClasse;Technology;EFA_weighted;EFA_km;EFA_km_weighted;EFA_WTT;EFA_WTT_km;EFA_WTW;EFA_WTW_km
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,1-2h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,2-3h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,2-3h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,2-3h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,3-4h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,3-4h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,3-4h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,4-5h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,4-5h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,4-5h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,5-6h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,5-6h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,5-6h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,6-7h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,6-7h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,6-7h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,7-8h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,7-8h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,7-8h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,8-9h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,8-9h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,8-9h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,9-10h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,9-10h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,9-10h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,10-11h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,10-11h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,10-11h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,11-12h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,11-12h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,11-12h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,>12h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,>12h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;BC (exhaust);Urban;TØ,>12h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,0-1h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,0-1h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,0-1h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,1-2h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,1-2h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,1-2h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,2-3h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,2-3h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,2-3h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,3-4h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,3-4h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,3-4h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,4-5h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,4-5h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,4-5h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,5-6h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,5-6h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,5-6h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,6-7h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,6-7h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,6-7h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,7-8h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,7-8h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,7-8h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,8-9h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,8-9h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,8-9h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,9-10h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,9-10h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,9-10h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,10-11h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,10-11h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,10-11h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,11-12h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,11-12h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,11-12h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,>12h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,>12h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,>12h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,0-1h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,0-1h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,0-1h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,1-2h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,1-2h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,1-2h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,2-3h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,2-3h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,2-3h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,3-4h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,3-4h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,3-4h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,4-5h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,4-5h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,4-5h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,5-6h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,5-6h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,5-6h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,6-7h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,6-7h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,6-7h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,7-8h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,7-8h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,7-8h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,8-9h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,8-9h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,8-9h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,9-10h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,9-10h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,9-10h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,10-11h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,10-11h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,10-11h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,11-12h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,11-12h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,11-12h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,>12h,1-2km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,>12h,1-2km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;Benzene;Urban;TØ,>12h,1-2km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;CH4;Urban;TØ,0-1h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;CH4;Urban;TØ,0-1h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;CH4;Urban;TØ,0-1h,0-1km;electricity;0.005378228;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;CH4;Urban;TØ,1-2h,0-1km;diesel;0.977107823;0;average;average;0;;;;;;
2020_detailed_perTechAverage_LCV[4.1];urban bus;2020;REF D HB41;CH4;Urban;TØ,1-2h,0-1km;CNG;0.01751392;0;average;average;0;;;;;;
