2005HotDetailed[3.1];HGV;2020;REF D HB41;NMHC;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.009526113;0.009209992;0.009846036;38.16640472;38.18578339;38.13743973;0.04724415;0.045864958;0.048844621;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;NMHC;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.024757054;0.024116537;0.025412131;12.30854416;12.37026978;12.23582363;0.112661213;0.105929457;0.119792528;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;Pb;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0;0;0;38.16640472;38.18578339;38.13743973;0;0;0;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;Pb;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0;0;0;12.30854416;12.37026978;12.23582363;0;0;0;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;SO2;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.001445675;0.001298564;0.0015945;38.16640472;38.18578339;38.13743973;0.003313724;0.00246125;0.004177677;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;SO2;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.002971883;0.002675916;0.003270876;12.30854416;12.37026978;12.23582363;0.007824671;0.005770012;0.009868662;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;N2O;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.018999999;0.018999999;0.018999999;38.081604;38.100914;38.05273819;0.047037929;0.047037933;0.047037933;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;N2O;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.0185;0.0185;0.0185;12.28125668;12.34278011;12.20870876;0.04313051;0.04313051;0.04313051;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;NH3;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.006585397;0.006585397;0.006585397;38.081604;38.100914;38.05273819;0.011355663;0.011355663;0.011355663;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;NH3;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.006376399;0.006376399;0.006376399;12.28125668;12.34278011;12.20870876;0.014842311;0.014842311;0.014842311;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;PM (non-exhaust);Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.100000001;0.100000001;0.100000001;38.16640472;38.18578339;38.13743973;0.099999994;0.100000001;0.100000001;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;PM (non-exhaust);Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;1.200000048;1.200000048;1.200000048;12.30854416;12.37026978;12.23582363;1.200000048;1.200000048;1.200000048;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;Benzene;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.000162998;0.000157589;0.000168472;38.16640472;38.18578339;38.13743973;0.000808058;0.000784551;0.000835351;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;Benzene;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.000423609;0.00041265;0.000434818;12.30854416;12.37026978;12.23582363;0.001926972;0.001812001;0.002048781;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;PM2.5;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.005609869;0.005308955;0.005927952;38.16640472;38.18578339;38.13743973;0.02732794;0.024686862;0.029873276;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;PM2.5;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.012821974;0.01287665;0.012772801;12.30854416;12.37026978;12.23582363;0.071998134;0.063997656;0.079645462;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;BC (exhaust);Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.00084148;0.000796343;0.000889193;38.16640472;38.18578339;38.13743973;0.013995224;0.012495441;0.015476239;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;BC (exhaust);Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.001923296;0.001931498;0.00191592;12.30854416;12.37026978;12.23582363;0.032724172;0.02942932;0.03589436;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;PM2.5 (non-exhaust);Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.067000002;0.067000002;0.067000002;38.16640472;38.18578339;38.13743973;0.067000002;0.067000002;0.067000002;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;PM2.5 (non-exhaust);Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.068000004;0.068000004;0.068000004;12.30854416;12.37026978;12.23582363;0.068000019;0.068000004;0.068000004;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;BC (non-exhaust);Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.0067;0.0067;0.0067;38.16640472;38.18578339;38.13743973;0.006700001;0.0067;0.0067;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;BC (non-exhaust);Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.0068;0.0068;0.0068;12.30854416;12.37026978;12.23582363;0.006800001;0.0068;0.0068;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;CO2e;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;269.7479248;242.8751678;296.9338379;38.16640472;38.18578339;38.13743973;619.7648926;463.9403076;777.6876831;;63.38562012;56.93554688;69.9108429;333.1335449;299.81073;366.8446655
2005HotDetailed[3.1];HGV;2020;REF D HB41;CO2e;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;548.399231;494.3349304;603.0164795;12.30854416;12.37026978;12.23582363;1443.19104;1067.616943;1816.814087;;130.3022003;117.3255463;143.4115601;678.701416;611.6604614;746.4280396
